day;time;thermal_zone2;thermal_zone0;thermal_zone7;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone8;thermal_zone6;thermal_zone4
2024-05-17;14:28:05;20.0;39.0;41.0;40.0;39.05;39.0;61.0;61.0;0.05
2024-05-17;14:29:05;20.0;39.0;44.0;40.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;14:32:20;20.0;39.0;41.0;40.0;39.05;39.0;57.0;57.0;0.05
2024-05-17;14:33:20;20.0;39.0;42.0;40.0;39.05;39.0;42.0;41.0;0.05
2024-05-17;14:34:20;20.0;39.0;43.0;40.0;39.05;39.0;41.0;40.0;0.05
2024-05-17;14:35:20;20.0;38.0;44.0;39.0;38.05;38.0;41.0;41.0;0.05
2024-05-17;14:36:20;20.0;38.0;41.0;38.0;38.05;38.0;41.0;40.0;0.05
2024-05-17;14:49:38;20.0;41.0;43.0;41.0;41.05;41.0;63.0;63.0;0.05
2024-05-17;14:49:56;20.0;40.0;44.0;40.0;40.05;40.0;43.0;42.0;0.05
2024-05-17;14:50:14;20.0;41.0;43.0;40.0;41.05;41.0;43.0;42.0;0.05
2024-05-17;14:50:32;20.0;40.0;43.0;41.0;40.05;40.0;42.0;41.0;0.05
2024-05-17;14:50:50;20.0;40.0;43.0;40.0;40.05;40.0;55.0;55.0;0.05
2024-05-17;14:51:08;20.0;40.0;44.0;40.0;40.05;40.0;43.0;43.0;0.05
2024-05-17;14:51:26;20.0;40.0;42.0;41.0;40.05;40.0;49.0;49.0;0.05
2024-05-17;14:54:26;20.0;39.0;42.0;40.0;39.05;39.0;56.0;56.0;0.05
2024-05-17;14:55:26;20.0;40.0;47.0;40.0;40.05;40.0;45.0;45.0;0.05
2024-05-17;14:56:26;20.0;40.0;43.0;39.0;40.05;40.0;42.0;42.0;0.05
2024-05-17;14:57:26;20.0;44.0;45.0;42.0;44.05;44.0;46.0;46.0;0.05
2024-05-17;14:58:26;20.0;43.0;49.0;44.0;43.05;43.0;45.0;44.0;0.05
2024-05-17;14:59:26;20.0;43.0;45.0;42.0;43.05;43.0;45.0;44.0;0.05
2024-05-17;15:00:26;20.0;43.0;47.0;44.0;43.05;43.0;45.0;44.0;0.05
2024-05-17;15:01:26;20.0;45.0;47.0;44.0;45.05;45.0;48.0;47.0;0.05
2024-05-17;15:02:26;20.0;45.0;46.0;43.0;45.05;45.0;49.0;49.0;0.05
2024-05-17;15:03:26;20.0;44.0;51.0;43.0;44.05;44.0;47.0;47.0;0.05
2024-05-17;15:04:26;20.0;44.0;45.0;43.0;44.05;44.0;46.0;46.0;0.05
2024-05-17;15:05:26;20.0;44.0;46.0;44.0;44.05;44.0;46.0;46.0;0.05
2024-05-17;15:06:26;20.0;45.0;45.0;45.0;45.05;45.0;47.0;47.0;0.05
2024-05-17;15:07:26;20.0;46.0;49.0;45.0;46.05;46.0;51.0;50.0;0.05
2024-05-17;15:08:27;20.0;48.0;47.0;47.0;48.05;48.0;55.0;55.0;0.05
2024-05-17;15:09:27;20.0;47.0;48.0;46.0;47.05;47.0;49.0;49.0;0.05
2024-05-17;15:10:27;20.0;49.0;55.0;48.0;49.05;49.0;52.0;52.0;0.05
2024-05-17;15:11:27;20.0;48.0;49.0;47.0;48.05;48.0;50.0;50.0;0.05
2024-05-17;15:12:27;20.0;47.0;53.0;46.0;47.05;47.0;50.0;49.0;0.05
2024-05-17;15:13:27;20.0;45.0;48.0;44.0;45.05;45.0;47.0;47.0;0.05
2024-05-17;19:55:55;20.0;37.0;40.0;38.0;37.05;37.0;53.0;53.0;0.05
2024-05-17;19:56:25;20.0;37.0;41.0;37.0;37.05;37.0;39.0;39.0;0.05
2024-05-17;19:56:55;20.0;37.0;40.0;38.0;37.05;37.0;39.0;39.0;0.05
2024-05-17;19:57:25;20.0;37.0;41.0;38.0;37.05;37.0;40.0;40.0;0.05
2024-05-17;20:08:04;20.0;36.0;40.0;37.0;36.05;36.0;52.0;52.0;0.05
2024-05-17;20:08:05;20.0;36.0;41.0;36.0;36.05;36.0;43.0;43.0;0.05
2024-05-17;20:08:05;20.0;36.0;39.0;37.0;36.05;36.0;39.0;39.0;0.05
2024-05-17;20:08:06;20.0;36.0;39.0;38.0;36.05;36.0;42.0;42.0;0.05
2024-05-17;20:08:06;20.0;36.0;39.0;36.0;36.05;36.0;39.0;39.0;0.05
2024-05-17;20:08:07;20.0;36.0;39.0;37.0;36.05;36.0;39.0;38.0;0.05
2024-05-17;20:08:08;20.0;36.0;38.0;36.0;36.05;36.0;38.0;38.0;0.05
2024-05-17;20:08:08;20.0;36.0;40.0;38.0;36.05;36.0;39.0;38.0;0.05
2024-05-17;20:08:09;20.0;36.0;39.0;37.0;36.05;36.0;39.0;39.0;0.05
2024-05-17;20:08:09;20.0;36.0;38.0;37.0;36.05;36.0;40.0;39.0;0.05
2024-05-17;20:08:10;20.0;36.0;41.0;37.0;36.05;36.0;39.0;39.0;0.05
2024-05-17;20:08:11;20.0;36.0;39.0;37.0;36.05;36.0;39.0;38.0;0.05
2024-05-17;20:08:11;20.0;36.0;38.0;36.0;36.05;36.0;41.0;41.0;0.05
2024-05-17;20:08:12;20.0;36.0;40.0;36.0;36.05;36.0;40.0;40.0;0.05
2024-05-17;20:08:12;20.0;36.0;41.0;36.0;36.05;36.0;39.0;39.0;0.05
2024-05-17;20:08:13;20.0;36.0;41.0;36.0;36.05;36.0;40.0;39.0;0.05
2024-05-17;20:08:14;20.0;37.0;43.0;37.0;37.05;37.0;55.0;55.0;0.05
2024-05-17;20:08:14;20.0;37.0;43.0;38.0;37.05;37.0;40.0;40.0;0.05
2024-05-17;20:08:15;20.0;37.0;44.0;37.0;37.05;37.0;39.0;39.0;0.05
2024-05-17;20:08:15;20.0;37.0;43.0;38.0;37.05;37.0;62.0;62.0;0.05
2024-05-17;20:08:16;20.0;37.0;44.0;38.0;37.05;37.0;61.0;61.0;0.05
2024-05-17;20:08:17;20.0;37.0;44.0;38.0;37.05;37.0;61.0;61.0;0.05
2024-05-17;20:08:17;20.0;37.0;44.0;39.0;37.05;37.0;58.0;58.0;0.05
2024-05-17;20:08:18;20.0;37.0;45.0;40.0;37.05;37.0;42.0;42.0;0.05
2024-05-17;20:08:19;20.0;37.0;43.0;39.0;37.05;37.0;43.0;43.0;0.05
2024-05-17;20:08:19;20.0;38.0;43.0;38.0;38.05;38.0;64.0;64.0;0.05
2024-05-17;20:08:20;20.0;38.0;44.0;39.0;38.05;38.0;42.0;42.0;0.05
2024-05-17;20:08:20;20.0;38.0;44.0;40.0;38.05;38.0;41.0;41.0;0.05
2024-05-17;20:08:21;20.0;38.0;44.0;38.0;38.05;38.0;51.0;51.0;0.05
2024-05-17;20:08:22;20.0;38.0;44.0;38.0;38.05;38.0;52.0;52.0;0.05
2024-05-17;20:08:22;20.0;38.0;44.0;39.0;38.05;38.0;41.0;41.0;0.05
2024-05-17;20:08:23;20.0;38.0;44.0;38.0;38.05;38.0;43.0;43.0;0.05
2024-05-17;20:08:23;20.0;38.0;42.0;40.0;38.05;38.0;41.0;41.0;0.05
2024-05-17;20:08:24;20.0;38.0;41.0;38.0;38.05;38.0;42.0;41.0;0.05
2024-05-17;20:08:25;20.0;38.0;43.0;38.0;38.05;38.0;41.0;41.0;0.05
2024-05-17;20:08:25;20.0;38.0;41.0;38.0;38.05;38.0;41.0;40.0;0.05
2024-05-17;20:08:26;20.0;38.0;41.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:26;20.0;38.0;41.0;39.0;38.05;38.0;41.0;40.0;0.05
2024-05-17;20:08:27;20.0;38.0;43.0;39.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:28;20.0;38.0;44.0;38.0;38.05;38.0;64.0;64.0;0.05
2024-05-17;20:08:28;20.0;38.0;44.0;38.0;38.05;38.0;42.0;41.0;0.05
2024-05-17;20:08:29;20.0;38.0;43.0;38.0;38.05;38.0;41.0;40.0;0.05
2024-05-17;20:08:29;20.0;38.0;44.0;38.0;38.05;38.0;44.0;43.0;0.05
2024-05-17;20:08:30;20.0;38.0;43.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:31;20.0;38.0;41.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:31;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:32;20.0;38.0;41.0;38.0;38.05;38.0;41.0;40.0;0.05
2024-05-17;20:08:32;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:33;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:34;20.0;38.0;40.0;38.0;38.05;38.0;41.0;40.0;0.05
2024-05-17;20:08:34;20.0;38.0;40.0;39.0;38.05;38.0;40.0;39.0;0.05
2024-05-17;20:08:35;20.0;38.0;39.0;38.0;38.05;38.0;40.0;39.0;0.05
2024-05-17;20:08:35;20.0;38.0;39.0;38.0;38.05;38.0;40.0;39.0;0.05
2024-05-17;20:08:36;20.0;38.0;39.0;39.0;38.05;38.0;40.0;40.0;0.05
2024-05-17;20:08:37;20.0;38.0;39.0;38.0;38.05;38.0;46.0;46.0;0.05
2024-05-17;20:08:37;20.0;38.0;44.0;38.0;38.05;38.0;52.0;52.0;0.05
2024-05-17;20:08:38;20.0;38.0;44.0;40.0;38.05;38.0;53.0;53.0;0.05
2024-05-17;20:08:39;20.0;38.0;44.0;39.0;38.05;38.0;60.0;60.0;0.05
2024-05-17;20:08:39;20.0;38.0;44.0;40.0;38.05;38.0;42.0;42.0;0.05
2024-05-17;20:08:40;20.0;38.0;44.0;40.0;38.05;38.0;64.0;64.0;0.05
2024-05-17;20:08:40;20.0;38.0;43.0;39.0;38.05;38.0;42.0;42.0;0.05
2024-05-17;20:08:41;20.0;39.0;44.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:42;20.0;39.0;42.0;38.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:42;20.0;39.0;44.0;38.0;39.05;39.0;42.0;41.0;0.05
2024-05-17;20:08:43;20.0;39.0;44.0;39.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:08:43;20.0;39.0;44.0;38.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:08:44;20.0;39.0;44.0;39.0;39.05;39.0;42.0;41.0;0.05
2024-05-17;20:08:45;20.0;39.0;41.0;38.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:08:45;20.0;39.0;42.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:46;20.0;39.0;44.0;39.0;39.05;39.0;43.0;43.0;0.05
2024-05-17;20:08:46;20.0;39.0;44.0;38.0;39.05;39.0;54.0;54.0;0.05
2024-05-17;20:08:47;20.0;39.0;44.0;40.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:08:48;20.0;39.0;44.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:48;20.0;39.0;44.0;39.0;39.05;39.0;42.0;41.0;0.05
2024-05-17;20:08:49;20.0;39.0;43.0;39.0;39.05;39.0;43.0;43.0;0.05
2024-05-17;20:08:49;20.0;39.0;44.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:50;20.0;39.0;44.0;39.0;39.05;39.0;49.0;49.0;0.05
2024-05-17;20:08:51;20.0;39.0;46.0;38.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:08:51;20.0;39.0;41.0;40.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:52;20.0;39.0;41.0;38.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:52;20.0;39.0;44.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:53;20.0;39.0;41.0;40.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:54;20.0;39.0;43.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:54;20.0;39.0;42.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:55;20.0;39.0;42.0;39.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:08:55;20.0;39.0;41.0;40.0;39.05;39.0;45.0;45.0;0.05
2024-05-17;20:08:56;20.0;39.0;44.0;39.0;39.05;39.0;57.0;57.0;0.05
2024-05-17;20:08:57;20.0;39.0;44.0;38.0;39.05;39.0;44.0;44.0;0.05
2024-05-17;20:08:57;20.0;39.0;44.0;39.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:08:58;20.0;39.0;44.0;38.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:08:59;20.0;39.0;43.0;40.0;39.05;39.0;50.0;50.0;0.05
2024-05-17;20:08:59;20.0;39.0;44.0;40.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:09:00;20.0;39.0;41.0;40.0;39.05;39.0;53.0;53.0;0.05
2024-05-17;20:09:00;20.0;39.0;44.0;40.0;39.05;39.0;42.0;42.0;0.05
2024-05-17;20:09:01;20.0;39.0;44.0;40.0;39.05;39.0;43.0;42.0;0.05
2024-05-17;20:09:02;20.0;39.0;42.0;40.0;39.05;39.0;41.0;41.0;0.05
2024-05-17;20:09:02;20.0;39.0;43.0;40.0;39.05;39.0;42.0;41.0;0.05
2024-05-17;20:09:03;20.0;39.0;44.0;39.0;39.05;39.0;42.0;41.0;0.05
2024-05-17;20:09:03;20.0;39.0;44.0;39.0;39.05;39.0;43.0;43.0;0.05
2024-05-17;20:09:04;20.0;39.0;44.0;40.0;39.05;39.0;41.0;41.0;0.05
2024-05-24;09:52:16;20.0;38.0;38.0;38.0;38.05;38.0;63.0;63.0;0.05
2024-05-24;09:53:16;20.0;38.0;40.0;38.0;38.05;38.0;41.0;40.0;0.05
2024-05-24;09:54:16;20.0;39.0;40.0;40.0;39.05;39.0;42.0;42.0;0.05
2024-05-24;09:55:16;20.0;40.0;45.0;40.0;40.05;40.0;53.0;53.0;0.05
2024-05-24;09:56:16;20.0;41.0;41.0;40.0;41.05;41.0;43.0;43.0;0.05
2024-05-24;10:03:41;20.0;40.0;41.0;40.0;40.05;40.0;60.0;60.0;0.05
2024-05-24;10:04:11;20.0;39.0;42.0;39.0;39.05;39.0;42.0;41.0;0.05
2024-05-24;10:04:41;20.0;39.0;41.0;39.0;39.05;39.0;58.0;58.0;0.05
2024-05-24;10:05:11;20.0;40.0;44.0;40.0;40.05;40.0;50.0;50.0;0.05
2024-05-24;10:05:41;20.0;40.0;41.0;40.0;40.05;40.0;44.0;43.0;0.05
2024-05-24;10:06:12;20.0;41.0;41.0;41.0;41.05;41.0;44.0;43.0;0.05
2024-05-24;10:06:42;20.0;40.0;41.0;41.0;40.05;40.0;43.0;42.0;0.05
2024-05-24;10:07:12;20.0;40.0;44.0;40.0;40.05;40.0;43.0;42.0;0.05
2024-05-24;10:07:42;20.0;40.0;41.0;40.0;40.05;40.0;43.0;43.0;0.05
2024-05-24;10:08:12;20.0;40.0;42.0;40.0;40.05;40.0;43.0;43.0;0.05
2024-05-24;10:08:42;20.0;40.0;42.0;40.0;40.05;40.0;43.0;42.0;0.05
2024-05-24;10:09:12;20.0;41.0;42.0;40.0;41.05;41.0;58.0;58.0;0.05
2024-05-24;10:09:42;20.0;42.0;42.0;43.0;42.05;42.0;45.0;43.0;0.05
2024-05-24;10:10:12;20.0;41.0;41.0;41.0;41.05;41.0;44.0;43.0;0.05
2024-05-24;10:10:42;20.0;43.0;43.0;42.0;43.05;43.0;58.0;58.0;0.05
2024-05-24;10:11:12;20.0;42.0;43.0;41.0;42.05;42.0;46.0;45.0;0.05
2024-05-24;10:11:42;20.0;43.0;46.0;42.0;43.05;43.0;45.0;44.0;0.05
2024-05-24;10:12:12;20.0;44.0;43.0;44.0;44.05;44.0;46.0;46.0;0.05
2024-05-24;10:12:42;20.0;45.0;48.0;46.0;45.05;45.0;61.0;61.0;0.05
2024-05-24;10:13:12;20.0;44.0;46.0;44.0;44.05;44.0;45.0;45.0;0.05
2024-05-24;10:13:42;20.0;43.0;48.0;42.0;43.05;43.0;61.0;61.0;0.05
2024-05-24;10:14:12;20.0;42.0;44.0;42.0;42.05;42.0;61.0;61.0;0.05
2024-05-24;10:14:42;20.0;42.0;44.0;41.0;42.05;42.0;43.0;43.0;0.05
2024-05-24;10:15:12;20.0;44.0;47.0;43.0;44.05;44.0;54.0;54.0;0.05
2024-05-24;10:15:42;20.0;44.0;46.0;44.0;44.05;44.0;56.0;56.0;0.05
2024-05-24;10:16:12;20.0;42.0;44.0;41.0;42.05;42.0;60.0;60.0;0.05
2024-05-24;10:16:42;20.0;42.0;46.0;42.0;42.05;42.0;44.0;43.0;0.05
2024-05-24;10:17:12;20.0;42.0;43.0;42.0;42.05;42.0;44.0;43.0;0.05
2024-05-24;10:17:42;20.0;42.0;43.0;41.0;42.05;42.0;45.0;45.0;0.05
2024-05-24;10:18:12;20.0;42.0;45.0;42.0;42.05;42.0;63.0;63.0;0.05
2024-05-24;10:18:42;20.0;42.0;45.0;42.0;42.05;42.0;54.0;54.0;0.05
2024-05-24;10:19:12;20.0;44.0;44.0;43.0;44.05;44.0;45.0;45.0;0.05
2024-05-24;10:19:42;20.0;43.0;46.0;42.0;43.05;43.0;60.0;60.0;0.05
2024-05-24;10:20:12;20.0;44.0;45.0;44.0;44.05;44.0;50.0;50.0;0.05
2024-05-24;10:20:42;20.0;44.0;46.0;44.0;44.05;44.0;47.0;47.0;0.05
2024-05-24;10:21:13;20.0;43.0;44.0;42.0;43.05;43.0;45.0;45.0;0.05
2024-05-24;10:21:43;20.0;42.0;43.0;41.0;42.05;42.0;44.0;43.0;0.05
2024-05-24;10:22:13;20.0;42.0;44.0;41.0;42.05;42.0;45.0;43.0;0.05
2024-05-24;10:22:43;20.0;41.0;43.0;41.0;41.05;41.0;42.0;42.0;0.05
2024-05-24;10:23:13;20.0;40.0;41.0;40.0;40.05;40.0;42.0;41.0;0.05
2024-05-24;10:23:43;20.0;39.0;41.0;38.0;39.05;39.0;41.0;41.0;0.05
2024-05-24;10:24:13;20.0;39.0;41.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-24;10:24:43;20.0;39.0;41.0;39.0;39.05;39.0;41.0;41.0;0.05
2024-05-24;10:25:13;20.0;39.0;40.0;38.0;39.05;39.0;41.0;41.0;0.05
2024-05-24;10:25:43;20.0;38.0;40.0;40.0;38.05;38.0;41.0;41.0;0.05
2024-05-24;10:26:13;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:26:43;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:27:13;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:27:43;20.0;38.0;40.0;37.0;38.05;38.0;40.0;39.0;0.05
2024-05-24;10:28:13;20.0;38.0;41.0;38.0;38.05;38.0;42.0;42.0;0.05
2024-05-24;10:28:43;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:29:13;20.0;38.0;40.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:29:43;20.0;38.0;39.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:30:13;20.0;38.0;39.0;38.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:30:43;20.0;38.0;40.0;38.0;38.05;38.0;41.0;39.0;0.05
2024-05-24;10:31:13;20.0;38.0;39.0;39.0;38.05;38.0;40.0;39.0;0.05
2024-05-24;10:31:43;20.0;38.0;39.0;39.0;38.05;38.0;40.0;40.0;0.05
2024-05-24;10:32:13;20.0;38.0;39.0;38.0;38.05;38.0;39.0;39.0;0.05
2024-05-24;10:32:43;20.0;38.0;41.0;38.0;38.05;38.0;40.0;39.0;0.05
2024-05-24;10:33:13;20.0;38.0;39.0;40.0;38.05;38.0;40.0;40.0;0.05
